year,spectra_area,driver_area,decade,ISD Exponent,metric,value
1957,Gulf of Maine,Gulf of Maine,1950,NA,SST,NA
1957,Gulf of Maine,Gulf of Maine,1950,NA,Commercial Landings,NA
1957,Gulf of Maine,Gulf of Maine,1950,NA,Spectra Slope,NA
1957,Gulf of Maine,Gulf of Maine,1950,NA,GSI,-0.02182621
1957,Gulf of Maine,Gulf of Maine,1950,NA,zp_small,NA
1957,Gulf of Maine,Gulf of Maine,1950,NA,zp_large,NA
1957,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,SST,NA
1957,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,Commercial Landings,NA
1957,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,Spectra Slope,NA
1957,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,GSI,-0.02182621
1957,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,zp_small,NA
1957,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,zp_large,NA
1957,Southern New England,Southern New England,1950,NA,SST,NA
1957,Southern New England,Southern New England,1950,NA,Commercial Landings,NA
1957,Southern New England,Southern New England,1950,NA,Spectra Slope,NA
1957,Southern New England,Southern New England,1950,NA,GSI,-0.02182621
1957,Southern New England,Southern New England,1950,NA,zp_small,NA
1957,Southern New England,Southern New England,1950,NA,zp_large,NA
1958,Georges Bank,Georges Bank,1950,NA,SST,NA
1958,Georges Bank,Georges Bank,1950,NA,Commercial Landings,NA
1958,Georges Bank,Georges Bank,1950,NA,Spectra Slope,NA
1958,Georges Bank,Georges Bank,1950,NA,GSI,-1.176406068
1958,Georges Bank,Georges Bank,1950,NA,zp_small,NA
1958,Georges Bank,Georges Bank,1950,NA,zp_large,NA
1958,Gulf of Maine,Gulf of Maine,1950,NA,SST,NA
1958,Gulf of Maine,Gulf of Maine,1950,NA,Commercial Landings,NA
1958,Gulf of Maine,Gulf of Maine,1950,NA,Spectra Slope,NA
1958,Gulf of Maine,Gulf of Maine,1950,NA,GSI,-1.176406068
1958,Gulf of Maine,Gulf of Maine,1950,NA,zp_small,NA
1958,Gulf of Maine,Gulf of Maine,1950,NA,zp_large,NA
1958,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,SST,NA
1958,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,Commercial Landings,NA
1958,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,Spectra Slope,NA
1958,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,GSI,-1.176406068
1958,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,zp_small,NA
1958,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,zp_large,NA
1958,Southern New England,Southern New England,1950,NA,SST,NA
1958,Southern New England,Southern New England,1950,NA,Commercial Landings,NA
1958,Southern New England,Southern New England,1950,NA,Spectra Slope,NA
1958,Southern New England,Southern New England,1950,NA,GSI,-1.176406068
1958,Southern New England,Southern New England,1950,NA,zp_small,NA
1958,Southern New England,Southern New England,1950,NA,zp_large,NA
1959,Georges Bank,Georges Bank,1950,NA,SST,NA
1959,Georges Bank,Georges Bank,1950,NA,Commercial Landings,NA
1959,Georges Bank,Georges Bank,1950,NA,Spectra Slope,NA
1959,Georges Bank,Georges Bank,1950,NA,GSI,-1.350813289
1959,Georges Bank,Georges Bank,1950,NA,zp_small,NA
1959,Georges Bank,Georges Bank,1950,NA,zp_large,NA
1959,Gulf of Maine,Gulf of Maine,1950,NA,SST,NA
1959,Gulf of Maine,Gulf of Maine,1950,NA,Commercial Landings,NA
1959,Gulf of Maine,Gulf of Maine,1950,NA,Spectra Slope,NA
1959,Gulf of Maine,Gulf of Maine,1950,NA,GSI,-1.350813289
1959,Gulf of Maine,Gulf of Maine,1950,NA,zp_small,NA
1959,Gulf of Maine,Gulf of Maine,1950,NA,zp_large,NA
1959,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,SST,NA
1959,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,Commercial Landings,NA
1959,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,Spectra Slope,NA
1959,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,GSI,-1.350813289
1959,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,zp_small,NA
1959,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,zp_large,NA
1959,Southern New England,Southern New England,1950,NA,SST,NA
1959,Southern New England,Southern New England,1950,NA,Commercial Landings,NA
1959,Southern New England,Southern New England,1950,NA,Spectra Slope,NA
1959,Southern New England,Southern New England,1950,NA,GSI,-1.350813289
1959,Southern New England,Southern New England,1950,NA,zp_small,NA
1959,Southern New England,Southern New England,1950,NA,zp_large,NA
1960,Georges Bank,Georges Bank,1960,NA,SST,NA
1960,Georges Bank,Georges Bank,1960,NA,Commercial Landings,NA
1960,Georges Bank,Georges Bank,1960,NA,Spectra Slope,NA
1960,Georges Bank,Georges Bank,1960,NA,GSI,-1.264461802
1960,Georges Bank,Georges Bank,1960,NA,zp_small,NA
1960,Georges Bank,Georges Bank,1960,NA,zp_large,NA
1960,Gulf of Maine,Gulf of Maine,1960,NA,SST,NA
1960,Gulf of Maine,Gulf of Maine,1960,NA,Commercial Landings,NA
1960,Gulf of Maine,Gulf of Maine,1960,NA,Spectra Slope,NA
1960,Gulf of Maine,Gulf of Maine,1960,NA,GSI,-1.264461802
1960,Gulf of Maine,Gulf of Maine,1960,NA,zp_small,NA
1960,Gulf of Maine,Gulf of Maine,1960,NA,zp_large,NA
1960,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,SST,NA
1960,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,Commercial Landings,NA
1960,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,Spectra Slope,NA
1960,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,GSI,-1.264461802
1960,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,zp_small,NA
1960,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,zp_large,NA
1960,Southern New England,Southern New England,1960,NA,SST,NA
1960,Southern New England,Southern New England,1960,NA,Commercial Landings,NA
1960,Southern New England,Southern New England,1960,NA,Spectra Slope,NA
1960,Southern New England,Southern New England,1960,NA,GSI,-1.264461802
1960,Southern New England,Southern New England,1960,NA,zp_small,NA
1960,Southern New England,Southern New England,1960,NA,zp_large,NA
1961,Georges Bank,Georges Bank,1960,NA,SST,NA
1961,Georges Bank,Georges Bank,1960,NA,Commercial Landings,NA
1961,Georges Bank,Georges Bank,1960,NA,Spectra Slope,NA
1961,Georges Bank,Georges Bank,1960,NA,GSI,-0.875700956
1961,Georges Bank,Georges Bank,1960,NA,zp_small,NA
1961,Georges Bank,Georges Bank,1960,NA,zp_large,NA
1961,Gulf of Maine,Gulf of Maine,1960,NA,SST,NA
1961,Gulf of Maine,Gulf of Maine,1960,NA,Commercial Landings,NA
1961,Gulf of Maine,Gulf of Maine,1960,NA,Spectra Slope,NA
1961,Gulf of Maine,Gulf of Maine,1960,NA,GSI,-0.875700956
1961,Gulf of Maine,Gulf of Maine,1960,NA,zp_small,NA
1961,Gulf of Maine,Gulf of Maine,1960,NA,zp_large,NA
1961,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,SST,NA
1961,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,Commercial Landings,NA
1961,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,Spectra Slope,NA
1961,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,GSI,-0.875700956
1961,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,zp_small,NA
1961,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,zp_large,NA
1961,Southern New England,Southern New England,1960,NA,SST,NA
1961,Southern New England,Southern New England,1960,NA,Commercial Landings,NA
1961,Southern New England,Southern New England,1960,NA,Spectra Slope,NA
1961,Southern New England,Southern New England,1960,NA,GSI,-0.875700956
1961,Southern New England,Southern New England,1960,NA,zp_small,NA
1961,Southern New England,Southern New England,1960,NA,zp_large,NA
1962,Georges Bank,Georges Bank,1960,NA,SST,NA
1962,Georges Bank,Georges Bank,1960,NA,Commercial Landings,NA
1962,Georges Bank,Georges Bank,1960,NA,Spectra Slope,NA
1962,Georges Bank,Georges Bank,1960,NA,GSI,-1.122332414
1962,Georges Bank,Georges Bank,1960,NA,zp_small,NA
1962,Georges Bank,Georges Bank,1960,NA,zp_large,NA
1962,Gulf of Maine,Gulf of Maine,1960,NA,SST,NA
1962,Gulf of Maine,Gulf of Maine,1960,NA,Commercial Landings,NA
1962,Gulf of Maine,Gulf of Maine,1960,NA,Spectra Slope,NA
1962,Gulf of Maine,Gulf of Maine,1960,NA,GSI,-1.122332414
1962,Gulf of Maine,Gulf of Maine,1960,NA,zp_small,NA
1962,Gulf of Maine,Gulf of Maine,1960,NA,zp_large,NA
1962,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,SST,NA
1962,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,Commercial Landings,NA
1962,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,Spectra Slope,NA
1962,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,GSI,-1.122332414
1962,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,zp_small,NA
1962,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,zp_large,NA
1962,Southern New England,Southern New England,1960,NA,SST,NA
1962,Southern New England,Southern New England,1960,NA,Commercial Landings,NA
1962,Southern New England,Southern New England,1960,NA,Spectra Slope,NA
1962,Southern New England,Southern New England,1960,NA,GSI,-1.122332414
1962,Southern New England,Southern New England,1960,NA,zp_small,NA
1962,Southern New England,Southern New England,1960,NA,zp_large,NA
1963,Georges Bank,Georges Bank,1960,NA,SST,NA
1963,Georges Bank,Georges Bank,1960,NA,Commercial Landings,NA
1963,Georges Bank,Georges Bank,1960,NA,Spectra Slope,NA
1963,Georges Bank,Georges Bank,1960,NA,GSI,-1.258581103
1963,Georges Bank,Georges Bank,1960,NA,zp_small,NA
1963,Georges Bank,Georges Bank,1960,NA,zp_large,NA
1963,Gulf of Maine,Gulf of Maine,1960,NA,SST,NA
1963,Gulf of Maine,Gulf of Maine,1960,NA,Commercial Landings,NA
1963,Gulf of Maine,Gulf of Maine,1960,NA,Spectra Slope,NA
1963,Gulf of Maine,Gulf of Maine,1960,NA,GSI,-1.258581103
1963,Gulf of Maine,Gulf of Maine,1960,NA,zp_small,NA
1963,Gulf of Maine,Gulf of Maine,1960,NA,zp_large,NA
1963,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,SST,NA
1963,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,Commercial Landings,NA
1963,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,Spectra Slope,NA
1963,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,GSI,-1.258581103
1963,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,zp_small,NA
1963,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,zp_large,NA
1963,Southern New England,Southern New England,1960,NA,SST,NA
1963,Southern New England,Southern New England,1960,NA,Commercial Landings,NA
1963,Southern New England,Southern New England,1960,NA,Spectra Slope,NA
1963,Southern New England,Southern New England,1960,NA,GSI,-1.258581103
1963,Southern New England,Southern New England,1960,NA,zp_small,NA
1963,Southern New England,Southern New England,1960,NA,zp_large,NA
1964,Georges Bank,Georges Bank,1960,NA,SST,NA
1964,Georges Bank,Georges Bank,1960,NA,Commercial Landings,103248029
1964,Georges Bank,Georges Bank,1960,NA,Spectra Slope,NA
1964,Georges Bank,Georges Bank,1960,NA,GSI,-1.886384991
1964,Georges Bank,Georges Bank,1960,NA,zp_small,NA
1964,Georges Bank,Georges Bank,1960,NA,zp_large,NA
1964,Gulf of Maine,Gulf of Maine,1960,NA,SST,NA
1964,Gulf of Maine,Gulf of Maine,1960,NA,Commercial Landings,217199012
1964,Gulf of Maine,Gulf of Maine,1960,NA,Spectra Slope,NA
1964,Gulf of Maine,Gulf of Maine,1960,NA,GSI,-1.886384991
1964,Gulf of Maine,Gulf of Maine,1960,NA,zp_small,NA
1964,Gulf of Maine,Gulf of Maine,1960,NA,zp_large,NA
1964,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,SST,NA
1964,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,Commercial Landings,NA
1964,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,Spectra Slope,NA
1964,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,GSI,-1.886384991
1964,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,zp_small,NA
1964,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,zp_large,NA
1964,Southern New England,Southern New England,1960,NA,SST,NA
1964,Southern New England,Southern New England,1960,NA,Commercial Landings,123984960
1964,Southern New England,Southern New England,1960,NA,Spectra Slope,NA
1964,Southern New England,Southern New England,1960,NA,GSI,-1.886384991
1964,Southern New England,Southern New England,1960,NA,zp_small,NA
1964,Southern New England,Southern New England,1960,NA,zp_large,NA
1965,Georges Bank,Georges Bank,1960,NA,SST,NA
1965,Georges Bank,Georges Bank,1960,NA,Commercial Landings,132801132
1965,Georges Bank,Georges Bank,1960,NA,Spectra Slope,NA
1965,Georges Bank,Georges Bank,1960,NA,GSI,-1.134739635
1965,Georges Bank,Georges Bank,1960,NA,zp_small,NA
1965,Georges Bank,Georges Bank,1960,NA,zp_large,NA
1965,Gulf of Maine,Gulf of Maine,1960,NA,SST,NA
1965,Gulf of Maine,Gulf of Maine,1960,NA,Commercial Landings,195121230
1965,Gulf of Maine,Gulf of Maine,1960,NA,Spectra Slope,NA
1965,Gulf of Maine,Gulf of Maine,1960,NA,GSI,-1.134739635
1965,Gulf of Maine,Gulf of Maine,1960,NA,zp_small,NA
1965,Gulf of Maine,Gulf of Maine,1960,NA,zp_large,NA
1965,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,SST,NA
1965,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,Commercial Landings,NA
1965,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,Spectra Slope,NA
1965,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,GSI,-1.134739635
1965,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,zp_small,NA
1965,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,zp_large,NA
1965,Southern New England,Southern New England,1960,NA,SST,NA
1965,Southern New England,Southern New England,1960,NA,Commercial Landings,144250171
1965,Southern New England,Southern New England,1960,NA,Spectra Slope,NA
1965,Southern New England,Southern New England,1960,NA,GSI,-1.134739635
1965,Southern New England,Southern New England,1960,NA,zp_small,NA
1965,Southern New England,Southern New England,1960,NA,zp_large,NA
1966,Georges Bank,Georges Bank,1960,NA,SST,NA
1966,Georges Bank,Georges Bank,1960,NA,Commercial Landings,144699308
1966,Georges Bank,Georges Bank,1960,NA,Spectra Slope,NA
1966,Georges Bank,Georges Bank,1960,NA,GSI,-1.99122477
1966,Georges Bank,Georges Bank,1960,NA,zp_small,NA
1966,Georges Bank,Georges Bank,1960,NA,zp_large,NA
1966,Gulf of Maine,Gulf of Maine,1960,NA,SST,NA
1966,Gulf of Maine,Gulf of Maine,1960,NA,Commercial Landings,178900125
1966,Gulf of Maine,Gulf of Maine,1960,NA,Spectra Slope,NA
1966,Gulf of Maine,Gulf of Maine,1960,NA,GSI,-1.99122477
1966,Gulf of Maine,Gulf of Maine,1960,NA,zp_small,NA
1966,Gulf of Maine,Gulf of Maine,1960,NA,zp_large,NA
1966,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,SST,NA
1966,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,Commercial Landings,65500
1966,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,Spectra Slope,NA
1966,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,GSI,-1.99122477
1966,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,zp_small,NA
1966,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,zp_large,NA
1966,Southern New England,Southern New England,1960,NA,SST,NA
1966,Southern New England,Southern New England,1960,NA,Commercial Landings,131871846
1966,Southern New England,Southern New England,1960,NA,Spectra Slope,NA
1966,Southern New England,Southern New England,1960,NA,GSI,-1.99122477
1966,Southern New England,Southern New England,1960,NA,zp_small,NA
1966,Southern New England,Southern New England,1960,NA,zp_large,NA
1967,Georges Bank,Georges Bank,1960,NA,SST,NA
1967,Georges Bank,Georges Bank,1960,NA,Commercial Landings,115925478
1967,Georges Bank,Georges Bank,1960,NA,Spectra Slope,NA
1967,Georges Bank,Georges Bank,1960,NA,GSI,-1.183936825
1967,Georges Bank,Georges Bank,1960,NA,zp_small,NA
1967,Georges Bank,Georges Bank,1960,NA,zp_large,NA
1967,Gulf of Maine,Gulf of Maine,1960,NA,SST,NA
1967,Gulf of Maine,Gulf of Maine,1960,NA,Commercial Landings,177399617
1967,Gulf of Maine,Gulf of Maine,1960,NA,Spectra Slope,NA
1967,Gulf of Maine,Gulf of Maine,1960,NA,GSI,-1.183936825
1967,Gulf of Maine,Gulf of Maine,1960,NA,zp_small,NA
1967,Gulf of Maine,Gulf of Maine,1960,NA,zp_large,NA
1967,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,SST,NA
1967,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,Commercial Landings,NA
1967,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,Spectra Slope,NA
1967,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,GSI,-1.183936825
1967,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,zp_small,NA
1967,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,zp_large,NA
1967,Southern New England,Southern New England,1960,NA,SST,NA
1967,Southern New England,Southern New England,1960,NA,Commercial Landings,128632994
1967,Southern New England,Southern New England,1960,NA,Spectra Slope,NA
1967,Southern New England,Southern New England,1960,NA,GSI,-1.183936825
1967,Southern New England,Southern New England,1960,NA,zp_small,NA
1967,Southern New England,Southern New England,1960,NA,zp_large,NA
1968,Georges Bank,Georges Bank,1960,NA,SST,NA
1968,Georges Bank,Georges Bank,1960,NA,Commercial Landings,90553353
1968,Georges Bank,Georges Bank,1960,NA,Spectra Slope,NA
1968,Georges Bank,Georges Bank,1960,NA,GSI,-0.34607358
1968,Georges Bank,Georges Bank,1960,NA,zp_small,NA
1968,Georges Bank,Georges Bank,1960,NA,zp_large,NA
1968,Gulf of Maine,Gulf of Maine,1960,NA,SST,NA
1968,Gulf of Maine,Gulf of Maine,1960,NA,Commercial Landings,205469868
1968,Gulf of Maine,Gulf of Maine,1960,NA,Spectra Slope,NA
1968,Gulf of Maine,Gulf of Maine,1960,NA,GSI,-0.34607358
1968,Gulf of Maine,Gulf of Maine,1960,NA,zp_small,NA
1968,Gulf of Maine,Gulf of Maine,1960,NA,zp_large,NA
1968,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,SST,NA
1968,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,Commercial Landings,63203
1968,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,Spectra Slope,NA
1968,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,GSI,-0.34607358
1968,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,zp_small,NA
1968,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,zp_large,NA
1968,Southern New England,Southern New England,1960,NA,SST,NA
1968,Southern New England,Southern New England,1960,NA,Commercial Landings,133498817
1968,Southern New England,Southern New England,1960,NA,Spectra Slope,NA
1968,Southern New England,Southern New England,1960,NA,GSI,-0.34607358
1968,Southern New England,Southern New England,1960,NA,zp_small,NA
1968,Southern New England,Southern New England,1960,NA,zp_large,NA
1969,Georges Bank,Georges Bank,1960,NA,SST,NA
1969,Georges Bank,Georges Bank,1960,NA,Commercial Landings,71387948
1969,Georges Bank,Georges Bank,1960,NA,Spectra Slope,NA
1969,Georges Bank,Georges Bank,1960,NA,GSI,-0.883770422
1969,Georges Bank,Georges Bank,1960,NA,zp_small,NA
1969,Georges Bank,Georges Bank,1960,NA,zp_large,NA
1969,Gulf of Maine,Gulf of Maine,1960,NA,SST,NA
1969,Gulf of Maine,Gulf of Maine,1960,NA,Commercial Landings,170234413
1969,Gulf of Maine,Gulf of Maine,1960,NA,Spectra Slope,NA
1969,Gulf of Maine,Gulf of Maine,1960,NA,GSI,-0.883770422
1969,Gulf of Maine,Gulf of Maine,1960,NA,zp_small,NA
1969,Gulf of Maine,Gulf of Maine,1960,NA,zp_large,NA
1969,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,SST,NA
1969,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,Commercial Landings,1670
1969,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,Spectra Slope,NA
1969,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,GSI,-0.883770422
1969,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,zp_small,NA
1969,Mid-Atlantic Bight,Mid-Atlantic Bight,1960,NA,zp_large,NA
1969,Southern New England,Southern New England,1960,NA,SST,NA
1969,Southern New England,Southern New England,1960,NA,Commercial Landings,128045587
1969,Southern New England,Southern New England,1960,NA,Spectra Slope,NA
1969,Southern New England,Southern New England,1960,NA,GSI,-0.883770422
1969,Southern New England,Southern New England,1960,NA,zp_small,NA
1969,Southern New England,Southern New England,1960,NA,zp_large,NA
1970,Georges Bank,Georges Bank,1970,-0.866624852,SST,NA
1970,Georges Bank,Georges Bank,1970,-0.866624852,Commercial Landings,69864610
1970,Georges Bank,Georges Bank,1970,-0.866624852,Spectra Slope,-0.684326714
1970,Georges Bank,Georges Bank,1970,-0.866624852,GSI,-0.96387809
1970,Georges Bank,Georges Bank,1970,-0.866624852,zp_small,NA
1970,Georges Bank,Georges Bank,1970,-0.866624852,zp_large,NA
